Banco,Jan_12,Feb_12,Mar_12,Apr_12,May_12,Jun_12,Jul_12,Aug_12,Sep_12,Oct_12,Nov_12,Dec_12,Jan_13,Feb_13,Mar_13,Apr_13,May_13,Jun_13,Jul_13,Aug_13,Sep_13,Oct_13,Nov_13,Dec_13,Jan_14,Feb_14,Mar_14,Apr_14,May_14,Jun_14,Jul_14,Aug_14,Sep_14,Oct_14,Nov_14,Dec_14,Jan_15,Feb_15,Mar_15,Apr_15,May_15,Jun_15,Jul_15,Aug_15,Sep_15,Oct_15,Nov_15,Dec_15,Jan_16,Feb_16,Mar_16,Apr_16,May_16,Jun_16,Jul_16,Aug_16,Sep_16,Oct_16,Nov_16,Dec_16,Jan_17,Feb_17,Mar_17,Apr_17,May_17,Jun_17,Jul_17,Aug_17,Sep_17,Oct_17,Nov_17,Dec_17,Jan_18,Feb_18,Mar_18,Apr_18,May_18,Jun_18,Jul_18,Aug_18,Sep_18,Oct_18,Nov_18,Dec_18,Jan_19,Feb_19,Mar_19,Apr_19
BANESTADO,10,9,10,10,10,10,10,9,10,9,9,10,10,10,10,9,8,10,9,9,9,8,10,10,9,8,10,8,9,10,10,10,10,9,10,10,9,10,10,10,10,10,7,6,4,6,9,9,9,9,8,10,10,8,9,9,9,9,8,10,8,9,8,10,10,10,10,10,10,8,10,10,7,10,8,9,9,7,8,9,9,7,9,7,9,8,7,7
BBVA,7,7,8,7,8,8,7,7,6,6,3,7,3,6,3,7,4,8,6,7,8,7,8,6,7,10,8,10,10,9,9,9,9,10,9,9,10,9,9,8,8,8,9,9,10,10,10,8,10,10,10,9,9,10,10,10,10,10,10,9,10,10,10,9,9,9,8,8,9,10,7,9,10,7,7,10,7,8,7,7,6,8,7,8,8,9,9,
SANTANDER,8,8,6,8,9,9,9,10,9,10,10,8,9,9,9,10,10,9,8,8,4,5,6,9,5,6,7,6,6,3,5,5,8,8,7,7,7,7,5,6,5,6,8,10,8,9,7,7,2,7,9,7,8,9,8,8,8,8,9,8,9,3,8,7,8,8,9,9,8,9,9,8,9,9,9,8,10,10,9,8,8,9,8,9,7,7,5,8
BANCHILE,3,3,2,,3,6,6,3,5,3,4,5,6,2,4,8,6,4,3,2,3,2,2,3,6,4,5,4,2,5,7,6,7,3,5,2,3,5,2,5,4,2,2,4,,1,2,2,5,1,2,5,4,6,7,5,3,1,4,7,,2,3,8,7,6,7,7,7,6,8,7,8,8,10,7,8,9,10,10,10,10,10,10,10,10,10,10
CREDICORP,9,10,9,9,6,4,5,6,7,7,8,9,8,8,2,4,9,7,7,6,6,6,4,2,2,3,3,1,4,4,4,2,3,4,4,5,5,4,7,9,9,9,10,8,9,8,8,6,6,2,1,,3,,,,,2,,1,5,1,1,,5,4,5,5,4,4,5,3,3,3,3,3,1,3,3,2,3,2,3,,3,,2,
BICE,5,6,7,6,7,7,8,8,8,8,7,6,7,5,8,6,3,6,10,10,10,10,7,8,10,9,9,7,7,6,6,7,6,6,8,8,8,8,6,2,3,7,5,2,6,5,3,1,3,4,5,3,5,5,6,6,5,7,7,4,2,4,4,6,2,7,3,6,6,5,3,1,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4
BCI,6,4,5,3,4,2,3,4,2,2,2,3,,,5,1,2,2,2,4,5,9,5,4,4,5,4,5,5,7,3,4,4,7,3,6,6,6,8,7,7,5,6,7,3,7,6,10,8,5,6,6,6,7,5,7,7,6,6,6,7,8,7,5,6,5,6,4,5,7,6,6,6,6,6,4,6,5,5,5,5,5,5,5,5,5,8,5
LARRAIN VIAL,4,5,4,5,5,5,4,5,3,1,5,4,5,7,7,3,7,3,5,5,7,4,9,7,8,7,6,9,8,8,8,8,5,5,6,3,4,2,3,3,2,3,3,5,2,2,1,3,4,6,7,8,7,3,3,2,6,5,5,2,1,7,5,1,4,1,,,3,2,1,2,2,2,2,2,3,1,,,,,2,3,,2,,
CONSORCIO,2,1,,1,2,3,2,2,4,5,6,2,4,4,6,5,5,5,4,3,2,3,3,5,3,2,2,3,3,2,2,3,2,2,2,4,2,3,4,3,6,4,1,,7,4,4,4,1,3,3,1,1,4,4,3,3,4,2,5,4,6,6,3,,2,1,,,,,,1,,,1,,,,,,,,,,,,
ITAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,1,,,,,,,,,,1,,,,,,3,,,4,3,,4,2,2,3,4,5,4,5,4,6,5,6,6,6,7,6,6,6,6,6,6,6
NEVASA,,,1,2,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,4,1,5,3,5,5,7,8,4,4,2,2,2,4,2,4,3,3,6,5,2,2,1,3,2,3,1,,2,4,,,,,,,,,,,,,,,,
SECURITY,1,2,3,4,,,,,1,,,,,,,,,,,,1,,1,1,,,,2,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
EUROAMERICA,,,,,,,,1,,,,,,3,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORPCAP,,,,,,,1,,,4,1,1,1,,,2,1,1,,,,1,,,1,,,,,,,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,2,,3,,,,,,3,3,3
BTG PACTUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,,2,,,2
SCOTIA,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
FINANZAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,1,1,,2,1,1,,1
MBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
PENTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEUTSCHE,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
